# time_s wind_ms x1_blade_m x2_tower_m
1.550000000000000044e+00 9.983999999999999986e+00 1.190922578974901835e+00 6.502276096111060388e-01
1.560000000000000053e+00 9.981999999999999318e+00 1.195485961074714609e+00 6.555422985499891331e-01
1.570000000000000062e+00 9.980000000000000426e+00 1.200205326719089527e+00 6.607526761345468014e-01
1.580000000000000071e+00 9.977000000000000313e+00 1.205074669561228440e+00 6.658573450252052162e-01
1.590000000000000080e+00 9.974000000000000199e+00 1.210087572341111750e+00 6.708549833250854189e-01
1.600000000000000089e+00 9.970000000000000639e+00 1.215237206885498633e+00 6.757443445800050963e-01
1.610000000000000098e+00 9.964000000000000412e+00 1.220521174436316914e+00 6.805241535287770427e-01
1.620000000000000107e+00 9.955999999999999517e+00 1.225942436619549269e+00 6.851929969886209060e-01
1.629999999999999893e+00 9.948000000000000398e+00 1.231496709850073090e+00 6.897496186251514949e-01
1.639999999999999902e+00 9.939999999999999503e+00 1.237179465461335059e+00 6.941928366587977184e-01
1.649999999999999911e+00 9.932999999999999829e+00 1.242986090722843384e+00 6.985215410744486375e-01
1.659999999999999920e+00 9.926000000000000156e+00 1.248911888840168238e+00 7.027346936214541318e-01
1.669999999999999929e+00 9.922000000000000597e+00 1.254952078954942207e+00 7.068313278136248989e-01
1.679999999999999938e+00 9.919999999999999929e+00 1.261101796144859177e+00 7.108105489292321222e-01
1.689999999999999947e+00 9.920999999999999375e+00 1.267356091423675890e+00 7.146715340110081360e-01
1.699999999999999956e+00 9.923999999999999488e+00 1.273709931741210610e+00 7.184135318661455383e-01
1.709999999999999964e+00 9.929000000000000270e+00 1.280158199983343792e+00 7.220358630662980781e-01
1.719999999999999973e+00 9.935999999999999943e+00 1.286695694972017634e+00 7.255379199475798790e-01
1.729999999999999982e+00 9.945000000000000284e+00 1.293317131465236525e+00 7.289191666105659939e-01
1.739999999999999991e+00 9.952999999999999403e+00 1.300017140157067264e+00 7.321791389202920719e-01
1.750000000000000000e+00 9.961999999999999744e+00 1.306790267677638173e+00 7.353174445062545805e-01
1.760000000000000009e+00 9.970000000000000639e+00 1.313630976593139543e+00 7.383337627624106947e-01
1.770000000000000018e+00 9.977999999999999758e+00 1.320533645405824075e+00 7.412278448471784076e-01
1.780000000000000027e+00 9.983999999999999986e+00 1.327492568554005992e+00 7.439995136834360867e-01
1.790000000000000036e+00 9.989000000000000767e+00 1.334501956412062151e+00 7.466486639585232510e-01
1.800000000000000044e+00 9.993000000000000327e+00 1.341555935290430934e+00 7.491752621242399046e-01
1.810000000000000053e+00 9.996999999999999886e+00 1.348648547435612910e+00 7.515793463968467591e-01
1.820000000000000062e+00 1.000000000000000000e+01 1.355773751030170615e+00 7.538610267570654555e-01
1.830000000000000071e+00 1.000300000000000011e+01 1.362925420192728776e+00 7.560204849500781199e-01
1.840000000000000080e+00 1.000600000000000023e+01 1.370097344977974085e+00 7.580579744855278079e-01
1.850000000000000089e+00 1.000799999999999912e+01 1.377283231376654760e+00 7.599738206375180605e-01
